company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
"Fisher, Davis and Flores Inc.",Software,293,71,A Software company focused on extend visionary partnerships,1
Lee LLC LLC,Data Analytics,5,1,A Data Analytics company focused on evolve one-to-one ROI,0
"Gonzales, Montgomery and Miller LLC",Food & Beverage,497,138,A Food & Beverage company focused on reinvent granular communities,1
Thomas-Mason Solutions,Insurance,583,21,A Insurance company focused on transition 24/365 e-markets,1
Thompson-Romero LLC,Fashion & Apparel,278,124,A Fashion & Apparel company focused on seize dot-com architectures,0
Brown-Sweeney Inc.,Data Analytics,303,42,A Data Analytics company focused on deploy interactive vortals,1
Pace and Sons LLC,AI,70,116,A AI company focused on synthesize sticky e-markets,1
"Cooper, West and Murray Group",Publishing,674,112,A Publishing company focused on brand extensible architectures,0
"Curtis, Fisher and Lopez LLC",HR Tech,310,12,A HR Tech company focused on benchmark leading-edge deliverables,1
"Mendoza, Nunez and Silva Group",Food & Beverage,827,96,A Food & Beverage company focused on envisioneer efficient experiences,1
Neal-Griffin Solutions,Agriculture,600,130,A Agriculture company focused on enhance seamless action-items,1
Hamilton and Sons Group,Gaming,307,24,A Gaming company focused on synthesize dot-com e-commerce,1
Monroe LLC LLC,Cybersecurity,8,3,A Cybersecurity company focused on deliver rich infrastructures,0
Brown Ltd LLC,Utilities,820,120,A Utilities company focused on transition best-of-breed mindshare,1
Horn Inc Solutions,Utilities,280,184,A Utilities company focused on enhance global content,1
Green Inc Group,IoT,344,71,A IoT company focused on aggregate bricks-and-clicks e-markets,1
Perez-Lopez Solutions,Staffing & Recruiting,532,184,A Staffing & Recruiting company focused on target compelling e-commerce,1
"Melendez, Smith and Padilla LLC",Cosmetics,867,144,A Cosmetics company focused on deliver wireless bandwidth,0
Kim PLC LLC,Fintech,532,134,A Fintech company focused on target dot-com e-markets,1
"Clayton, Davis and Nelson LLC",Consumer Electronics,844,25,A Consumer Electronics company focused on utilize scalable markets,0
Carey Ltd LLC,HR Tech,8,3,A HR Tech company focused on innovate holistic platforms,0
Morris Group Solutions,Logistics & Supply Chain,216,106,A Logistics & Supply Chain company focused on iterate transparent bandwidth,1
"Flores, Velazquez and Newman Group",Software,689,130,A Software company focused on incentivize killer action-items,1
Bradshaw-Wright LLC,Pharmaceuticals,477,154,A Pharmaceuticals company focused on syndicate bleeding-edge e-commerce,1
"Myers, Gomez and Fry Inc.",Public Relations,7,2,A Public Relations company focused on synergize customized content,0
Gomez-Evans Group,Cloud Computing,5,1,A Cloud Computing company focused on maximize global supply-chains,0
Scott-Maldonado Inc.,Public Relations,487,179,A Public Relations company focused on orchestrate magnetic solutions,1
Gates Group Solutions,Travel & Tourism,439,6,A Travel & Tourism company focused on exploit distributed e-markets,0
"Johnson, Stephens and Haynes Group",Agriculture,678,163,A Agriculture company focused on harness front-end schemas,1
Patterson PLC LLC,EdTech,222,23,A EdTech company focused on evolve user-centric applications,1
Clark LLC Solutions,Travel & Tourism,465,131,A Travel & Tourism company focused on benchmark cross-media deliverables,0
Reed Ltd Inc.,Fintech,586,110,A Fintech company focused on unleash next-generation portals,1
Townsend-Wilkins Inc.,Consulting,145,39,A Consulting company focused on transition magnetic schemas,1
"Davis, Rodriguez and Kennedy Inc.",HR Tech,295,71,A HR Tech company focused on matrix wireless models,1
Anderson-Ryan LLC,Manufacturing,186,117,A Manufacturing company focused on transform next-generation functionalities,1
"Jones, Torres and Knight Solutions",Aerospace & Defense,7,3,A Aerospace & Defense company focused on drive revolutionary portals,0
Howe-Hawkins Group,Legal Services,5,3,A Legal Services company focused on deliver rich e-commerce,0
Bush-Phillips LLC,HealthTech,758,175,A HealthTech company focused on enhance integrated portals,1
"Poole, Nguyen and Diaz Inc.",AI,787,27,A AI company focused on exploit efficient action-items,1
Marshall Ltd Inc.,Media & Entertainment,471,153,A Media & Entertainment company focused on generate frictionless interfaces,0
"Downs, Bell and White LLC",Legal Services,945,37,A Legal Services company focused on repurpose real-time users,1
"Douglas, Brown and Richardson LLC",Software,76,70,A Software company focused on revolutionize enterprise deliverables,1
Lopez Inc Inc.,Data Analytics,576,26,A Data Analytics company focused on productize bricks-and-clicks content,1
Keith-Wood Solutions,Food & Beverage,5,2,A Food & Beverage company focused on engage leading-edge infrastructures,0
Bridges Ltd Inc.,Fashion & Apparel,371,88,A Fashion & Apparel company focused on facilitate plug-and-play vortals,0
"Reyes, Rodriguez and Pierce Solutions",IoT,34,194,A IoT company focused on deliver customized portals,1
"Anthony, Mullins and Cervantes Group",Mining,291,198,A Mining company focused on enhance ubiquitous paradigms,1
Mora-Smith Solutions,Aerospace & Defense,724,29,A Aerospace & Defense company focused on extend sticky portals,1
Davis-Gibbs Inc.,Insurance,627,90,A Insurance company focused on morph distributed ROI,1
"Rich, Schaefer and Washington LLC",Media & Entertainment,43,42,A Media & Entertainment company focused on optimize clicks-and-mortar e-tailers,0
Bailey PLC Inc.,Retail,998,197,A Retail company focused on maximize collaborative users,1
Davies Ltd LLC,AI,311,61,A AI company focused on syndicate magnetic e-business,1
Chandler-Reyes Inc.,Healthcare,185,29,A Healthcare company focused on empower frictionless e-markets,1
Brennan Group Group,Automotive,5,1,A Automotive company focused on deliver strategic e-business,0
Olson PLC Group,Travel & Tourism,7,3,A Travel & Tourism company focused on utilize best-of-breed partnerships,0
"Barber, Adams and Mccall Inc.",IoT,910,96,A IoT company focused on re-intermediate magnetic bandwidth,1
Kramer PLC Solutions,Legal Services,6,3,A Legal Services company focused on innovate robust e-tailers,0
"Baker, Ellison and Ramirez LLC",Oil & Gas,592,180,A Oil & Gas company focused on synergize revolutionary channels,1
Davis-Wallace Solutions,Construction,544,188,A Construction company focused on e-enable out-of-the-box supply-chains,1
Salazar-Williams Inc.,Gaming,759,182,A Gaming company focused on disintermediate web-enabled vortals,1
Evans Inc Solutions,Insurance,7,2,A Insurance company focused on disintermediate clicks-and-mortar interfaces,0
Jacobson and Sons Solutions,Healthcare,7,3,A Healthcare company focused on scale enterprise eyeballs,0
Rios-Wood Solutions,Biotechnology,171,22,A Biotechnology company focused on leverage 24/7 schemas,1
"Smith, Barker and Velasquez LLC",Staffing & Recruiting,275,7,A Staffing & Recruiting company focused on engage strategic models,1
Thomas-Hoover LLC,Agriculture,294,184,A Agriculture company focused on incentivize user-centric portals,1
"Cervantes, Bryant and Dominguez Inc.",HealthTech,783,185,A HealthTech company focused on matrix efficient action-items,1
"Harris, Johnson and Clark Solutions",Retail,193,7,A Retail company focused on productize sticky ROI,1
Ward-Cantrell Solutions,Software,443,154,A Software company focused on architect viral applications,1
Miles-Moore Solutions,Publishing,833,189,A Publishing company focused on facilitate magnetic info-mediaries,0
Campbell Group Inc.,Gaming,395,65,A Gaming company focused on engage distributed e-tailers,1
Bell-Reed Solutions,Aerospace & Defense,220,90,A Aerospace & Defense company focused on extend strategic web services,1
Johnson PLC LLC,Manufacturing,750,184,A Manufacturing company focused on morph next-generation partnerships,1
Harris PLC LLC,Healthcare,532,75,A Healthcare company focused on transform leading-edge schemas,1
Hall-Warner LLC,Software,392,48,A Software company focused on incentivize sticky models,1
Roberts Inc Inc.,Cybersecurity,808,124,A Cybersecurity company focused on brand e-business content,1
Fitzpatrick-Schneider Inc.,Consulting,6,1,A Consulting company focused on streamline cross-media architectures,0
Campbell-Hunt Solutions,Software,6,2,A Software company focused on benchmark integrated schemas,0
Barrett-Smith Group,Marketing,7,2,A Marketing company focused on maximize 24/7 convergence,0
Holland-Garcia Solutions,AI,53,133,A AI company focused on innovate out-of-the-box initiatives,1
Shields-Anderson Inc.,Consumer Electronics,904,9,A Consumer Electronics company focused on e-enable granular vortals,0
"Smith, Molina and Burch Solutions",Marketing,325,19,A Marketing company focused on drive leading-edge relationships,1
Dunlap-Jackson Solutions,Telecommunications,714,180,A Telecommunications company focused on facilitate front-end convergence,0
Schmidt-Wilson LLC,Renewable Energy,453,160,A Renewable Energy company focused on synthesize B2C metrics,1
Andrews-Williams LLC,HealthTech,794,182,A HealthTech company focused on grow 24/365 deliverables,1
"Flores, Hall and Gonzalez LLC",AI,304,60,A AI company focused on extend transparent supply-chains,1
Nunez-Walker Solutions,Media & Entertainment,590,189,A Media & Entertainment company focused on utilize global users,0
Olson-Hill Inc.,Aerospace & Defense,173,8,A Aerospace & Defense company focused on innovate end-to-end vortals,1
Barron-Ortiz Solutions,Fashion & Apparel,7,3,A Fashion & Apparel company focused on expedite strategic schemas,0
"Richardson, Wagner and Roman Group",Biotechnology,7,3,A Biotechnology company focused on visualize magnetic bandwidth,0
"Zuniga, Clark and Carpenter LLC",Gaming,907,124,A Gaming company focused on re-contextualize enterprise systems,1
"Haley, Murphy and Rivera Group",EdTech,5,3,A EdTech company focused on harness bleeding-edge relationships,0
"Harris, Patrick and Jones Group",Publishing,861,185,A Publishing company focused on cultivate robust platforms,0
Jenkins-Sanders Inc.,Insurance,135,156,A Insurance company focused on embrace killer vortals,1
Cruz Inc LLC,HealthTech,7,1,A HealthTech company focused on deliver dynamic relationships,0
Thomas Ltd LLC,Events Services,900,159,A Events Services company focused on iterate user-centric systems,0
Cain LLC Solutions,Telecommunications,779,179,A Telecommunications company focused on utilize virtual experiences,0
Wilkinson-Love Group,Consulting,8,1,A Consulting company focused on target user-centric communities,0
Brown Ltd Group,Legal Services,84,100,A Legal Services company focused on integrate user-centric schemas,1
Elliott PLC LLC,HR Tech,8,1,A HR Tech company focused on synergize holistic architectures,0
Huynh Inc LLC,Marketing,674,90,A Marketing company focused on repurpose mission-critical models,1
Fisher-Collins Group,Publishing,710,26,A Publishing company focused on engineer real-time e-markets,0
Griffin-Hardin LLC,Aerospace & Defense,148,48,A Aerospace & Defense company focused on e-enable mission-critical e-business,1
"Jenkins, Graves and Morris Solutions",HealthTech,964,84,A HealthTech company focused on whiteboard clicks-and-mortar e-tailers,1
"Mays, Lopez and Matthews Solutions",HealthTech,813,34,A HealthTech company focused on repurpose open-source e-commerce,1
Ortiz Ltd LLC,HR Tech,8,3,A HR Tech company focused on transition magnetic users,0
Huang-Johnson LLC,Retail,5,3,A Retail company focused on optimize extensible action-items,0
"Williams, Christian and Dickerson LLC",Cybersecurity,535,25,A Cybersecurity company focused on grow strategic channels,1
Hensley-White Group,Venture Capital,7,2,A Venture Capital company focused on morph innovative e-business,0
"Nguyen, Dudley and Walker LLC",Insurance,977,136,A Insurance company focused on leverage scalable deliverables,1
Copeland LLC LLC,IoT,162,30,A IoT company focused on exploit mission-critical action-items,1
Schmitt-White Solutions,HealthTech,8,3,A HealthTech company focused on expedite killer eyeballs,0
Robinson and Sons Inc.,SaaS,7,2,A SaaS company focused on orchestrate 24/365 e-business,0
Francis Group Group,Cosmetics,184,62,A Cosmetics company focused on utilize vertical ROI,0
"Scott, Price and Duncan Inc.",SaaS,702,46,A SaaS company focused on maximize e-business web-readiness,1
"Cummings, Kramer and Giles Group",Gaming,410,26,A Gaming company focused on drive frictionless systems,1
Martin and Sons Solutions,Public Relations,7,2,A Public Relations company focused on enable holistic functionalities,0
Bullock-Mcdonald Inc.,Food & Beverage,308,108,A Food & Beverage company focused on brand back-end ROI,1
Miller Group Solutions,Fashion & Apparel,837,167,A Fashion & Apparel company focused on strategize user-centric e-services,0
"Bartlett, Brown and Jenkins Solutions",Data Analytics,616,39,A Data Analytics company focused on optimize cross-media vortals,1
"Brown, Douglas and Young LLC",Food & Beverage,5,3,A Food & Beverage company focused on expedite ubiquitous methodologies,0
